"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min", "test"
SANFRAN.C,20220615,2359,0.01,,70,54,,,,,,,,,,,,,,
SANFRAN.C,20220616,2359,0.01,,71,54,,,,,,,,,,,,,,
SANFRAN.C,20220617,2359,0.00,,72,54,,,,,,,,,,,,,,
SANFRAN.C,20220618,2359,0.00,,71,54,,,,,,,,,,,,,,
SANFRAN.C,20220619,2359,0.00,,71,54,,,,,,,,,,,,,,
SANFRAN.C,20220620,2359,0.00,,72,54,,,,,,,,,,,,,,
SANFRAN.C,20220621,2359,0.00,,73,54,,,,,,,,,,,,,,
SANFRAN.C,20220622,2359,0.00,,73,54,,,,,,,,,,,,,,
SANFRAN.C,20220623,2359,0.00,,70,53,,,,,,,,,,,,,,
SANFRAN.C,20220624,2359,0.00,,72,54,,,,,,,,,,,,,,
SANFRAN.C,20220625,2359,0.00,,73,54,,,,,,,,,,,,,,
SANFRAN.C,20220626,2359,0.00,,72,54,,,,,,,,,,,,,,
SANFRAN.C,20220627,2359,0.00,,73,55,,,,,,,,,,,,,,
SANFRAN.C,20220628,2359,0.01,,71,55,,,,,,,,,,,,,,
SANFRAN.C,20220629,2359,0.01,,71,55,,,,,,,,,,,,,,
SANFRAN.C,20220630,2359,0.00,,72,55,,,,,,,,,,,,,,
SANFRAN.C,20220701,2359,0.00,,73,55,,,,,,,,,,,,,,
SANFRAN.C,20220702,2359,0.00,,71,55,,,,,,,,,,,,,,
SANFRAN.C,20220703,2359,0.00,,72,54,,,,,,,,,,,,,,
SANFRAN.C,20220704,2359,0.00,,72,54,,,,,,,,,,,,,,
SANFRAN.C,20220705,2359,0.00,,71,54,,,,,,,,,,,,,,
SANFRAN.C,20220706,2359,0.00,,72,54,,,,,,,,,,,,,,
SANFRAN.C,20220707,2359,0.00,,72,54,,,,,,,,,,,,,,
SANFRAN.C,20220708,2359,0.00,,73,55,,,,,,,,,,,,,,
SANFRAN.C,20220709,2359,0.00,,73,55,,,,,,,,,,,,,,
SANFRAN.C,20220710,2359,0.00,,72,55,,,,,,,,,,,,,,
SANFRAN.C,20220711,2359,0.00,,72,55,,,,,,,,,,,,,,
SANFRAN.C,20220712,2359,0.00,,74,56,,,,,,,,,,,,,,
SANFRAN.C,20220713,2359,0.00,,74,55,,,,,,,,,,,,,,
SANFRAN.C,20220714,2359,0.00,,72,56,,,,,,,,,,,,,,
SANFRAN.C,20220715,2359,0.00,,73,55,,,,,,,,,,,,,,
SANFRAN.C,20220716,2359,0.00,,71,55,,,,,,,,,,,,,,
SANFRAN.C,20220717,2359,0.00,,72,55,,,,,,,,,,,,,,
SANFRAN.C,20220718,2359,0.00,,73,56,,,,,,,,,,,,,,
SANFRAN.C,20220719,2359,0.00,,72,56,,,,,,,,,,,,,,
SANFRAN.C,20220720,2359,0.00,,72,56,,,,,,,,,,,,,,
SANFRAN.C,20220721,2359,0.00,,70,56,,,,,,,,,,,,,,
