Precip,Air_Temp_Max,Air_Temp_Min,DayOfWeek,Operating_Airline,Dest,DestState,DepDelay,DepDel15,DepTimeBlk,Distance,DistanceGroup,DepDelayBinary
0.0,68,53,6,UA,IAD,VA,9.0,0.0,1000-1059,2419.0,10,1
0.09,62,47,2,OO,JAC,WY,-5.0,0.0,1200-1259,737.0,3,0
0.31,59,46,2,F9,LAS,NV,-8.0,0.0,0800-0859,414.0,2,0
0.0,71,55,3,OO,SLC,UT,27.0,1.0,0800-0859,599.0,3,1
0.05,63,48,5,AA,PHX,AZ,19.0,1.0,1200-1259,651.0,3,1
0.01,67,51,5,UA,IAH,TX,-1.0,0.0,1600-1659,1635.0,7,0
0.07,64,48,5,OO,LAX,CA,-6.0,0.0,1000-1059,337.0,2,0
0.0,70,53,5,QX,PAE,WA,12.0,0.0,1900-1959,710.0,3,1
0.14,61,47,1,UA,ORD,IL,-1.0,0.0,1300-1359,1846.0,8,0
0.01,71,55,2,AA,ORD,IL,-3.0,0.0,0600-0659,1846.0,8,0
0.0,67,50,3,AS,BOS,MA,9.0,0.0,0800-0859,2704.0,11,1
0.02,66,50,4,WN,DEN,CO,0.0,0.0,0600-0659,967.0,4,0
0.0,70,53,5,UA,MSY,LA,-5.0,0.0,2300-2359,1911.0,8,0
0.03,63,48,4,B6,FLL,FL,11.0,0.0,2200-2259,2584.0,11,1
0.01,71,55,2,OO,SNA,CA,-7.0,0.0,0600-0659,372.0,2,0
0.0,71,55,3,OO,FAT,CA,-11.0,0.0,1800-1859,158.0,1,0
0.01,68,52,7,DL,BOS,MA,12.0,0.0,2200-2259,2704.0,11,1
0.13,59,45,4,WN,BUR,CA,-6.0,0.0,2000-2059,326.0,2,0
0.11,60,48,2,OO,AUS,TX,-2.0,0.0,1800-1859,1504.0,7,0
0.0,72,56,3,UA,LAX,CA,-1.0,0.0,1100-1159,337.0,2,0
0.0,70,53,4,WN,DEN,CO,-6.0,0.0,0600-0659,967.0,4,0
0.03,64,50,7,AS,JFK,NY,55.0,1.0,0700-0759,2586.0,11,1
0.11,60,45,5,OO,PSP,CA,19.0,1.0,1300-1359,421.0,2,1
